SalesDate, Quantity
2015-01-01,1210
2015-01-02,1288
2015-01-03,1241
2015-01-04,1173
2015-01-05,1274
2015-01-06,1177
2015-01-07,1103
2015-01-08,895
2015-01-09,1214
2015-01-10,1003
2015-01-11,1114
2015-01-12,1114
2015-01-13,1099
2015-01-14,998
2015-01-15,1101
2015-01-16,1048
2015-01-17,1038
2015-01-18,918
2015-01-19,912
2015-01-20,926
2015-01-21,980
2015-01-22,1050
2015-01-23,921
2015-01-24,902
2015-01-25,923
2015-01-26,917
2015-01-27,830
2015-01-28,955
2015-01-29,954
2015-01-30,819
2015-01-31,844
2015-02-01,813
2015-02-02,749
2015-02-03,915
2015-02-04,870
2015-02-05,905
2015-02-06,886
2015-02-07,940
2015-02-08,755
2015-02-09,779
2015-02-10,809
2015-02-11,735
2015-02-12,797
2015-02-13,736
2015-02-14,755
2015-02-15,743
2015-02-16,743
2015-02-17,768
2015-02-18,728
2015-02-19,791
2015-02-20,909
2015-02-22,788
2015-02-23,700
2015-02-25,774
2015-02-26,800
2015-02-27,726
2015-02-28,836
2015-03-01,820
2015-03-02,742
2015-03-03,671
2015-03-04,885
2015-03-05,869
2015-03-06,611
2015-03-07,789
2015-03-08,850
2015-03-09,892
2015-03-10,741
2015-03-11,705
2015-03-12,659
2015-03-13,713
2015-03-14,847
2015-03-15,882
2015-03-16,953
2015-03-17,782
2015-03-18,853
2015-03-19,776
2015-03-20,975
2015-03-21,836
2015-03-22,900
2015-03-23,733
2015-03-24,652
2015-03-26,727
2015-03-28,856
2015-03-29,834
2015-03-30,891
2015-03-31,862
2015-04-01,871
2015-04-02,866
2015-04-03,844
2015-04-04,715
2015-04-05,826
2015-04-06,841
2015-04-07,834
2015-04-08,726
2015-04-09,974
2015-04-10,694
2015-04-11,875
2015-04-12,804
2015-04-13,868
2015-04-14,711
2015-04-15,692
2015-04-16,877
2015-04-17,847
2015-04-18,824
2015-04-19,845
2015-04-20,786
2015-04-21,785
2015-04-22,802
2015-04-23,865
2015-04-24,716
2015-04-25,741
2015-04-26,834
2015-04-27,940
2015-04-28,785
2015-04-29,731
2015-05-01,939
2015-05-02,963
2015-05-03,884
2015-05-04,797
2015-05-05,922
2015-05-06,899
2015-05-07,859
2015-05-08,821
2015-05-09,844
2015-05-10,909
2015-05-11,975
2015-05-12,804
2015-05-13,1037
2015-05-14,969
2015-05-15,968
2015-05-16,888
2015-05-17,1022
2015-05-18,1052
2015-05-19,793
2015-05-20,798
2015-05-21,868
2015-05-24,944
2015-05-25,1051
2015-05-26,804
2015-05-27,948
2015-05-28,940
2015-05-29,894
2015-05-30,999
2015-05-31,1099
2015-06-01,1038
2015-06-02,734
2015-06-03,852
2015-06-04,938
2015-06-05,961
2015-06-06,1013
2015-06-07,1071
2015-06-08,939
2015-06-09,970
2015-06-10,942
2015-06-11,1010
2015-06-12,736
2015-06-13,995
2015-06-14,1041
2015-06-15,881
2015-06-16,829
2015-06-17,916
2015-06-18,926
2015-06-19,899
2015-06-20,928
2015-06-21,912
2015-06-23,1057
2015-06-24,898
2015-06-25,981
2015-06-26,1031
2015-06-27,895
2015-06-28,998
2015-06-29,956
2015-06-30,842
2015-07-01,1016
2015-07-02,902
2015-07-03,1245
2015-07-04,1135
2015-07-05,983
2015-07-06,1120
2015-07-07,1070
2015-07-08,1010
2015-07-09,951
2015-07-10,1012
2015-07-11,1138
2015-07-12,1156
2015-07-13,1173
2015-07-14,1099
2015-07-15,998
2015-07-16,992
2015-07-17,955
2015-07-18,1065
2015-07-19,944
2015-07-21,1113
2015-07-22,911
2015-07-23,1003
2015-07-24,964
2015-07-25,989
2015-07-27,1088
2015-07-28,1016
2015-07-29,763
2015-07-31,813
2015-08-01,950
2015-08-02,941
2015-08-03,962
2015-08-04,953
2015-08-05,888
2015-08-06,945
2015-08-07,925
2015-08-08,854
2015-08-09,1002
2015-08-10,896
2015-08-11,812
2015-08-12,853
2015-08-13,793
2015-08-14,858
2015-08-15,865
2015-08-16,876
2015-08-17,825
2015-08-18,859
2015-08-19,858
2015-08-20,822
2015-08-21,879
2015-08-22,877
2015-08-25,654
2015-08-26,832
2015-08-27,857
2015-08-28,946
2015-08-29,857
2015-08-30,827
2015-09-01,762
2015-09-02,722
2015-09-03,851
2015-09-04,789
2015-09-05,728
2015-09-06,788
2015-09-07,705
2015-09-08,764
2015-09-09,690
2015-09-10,881
2015-09-11,787
2015-09-12,799
2015-09-14,633
2015-09-15,782
2015-09-16,801
2015-09-17,705
2015-09-18,554
2015-09-19,624
2015-09-20,722
2015-09-21,665
2015-09-22,663
2015-09-23,721
2015-09-24,731
2015-09-25,842
2015-09-26,714
2015-09-27,745
2015-09-28,560
2015-09-29,600
2015-10-01,737
2015-10-02,549
2015-10-03,533
2015-10-04,492
2015-10-05,631
2015-10-06,671
2015-10-07,685
2015-10-08,602
2015-10-09,788
2015-10-10,691
2015-10-11,662
2015-10-12,636
2015-10-13,636
2015-10-14,648
2015-10-15,678
2015-10-16,629
2015-10-17,700
2015-10-19,622
2015-10-20,663
2015-10-21,684
2015-10-22,609
2015-10-23,596
2015-10-24,793
2015-10-25,721
2015-10-26,798
