SalesDate,Quantity
2016-01-04,3
2016-01-11,1
2016-01-18,3
2016-01-25,4
2016-02-01,4
2016-02-08,2
2016-02-15,4
2016-02-22,2
2016-02-29,1
2016-03-07,1
2016-03-14,1
2016-03-21,3
2016-03-28,4
2016-04-03,4
2016-04-11,1
2016-04-18,2
2016-05-09,2
2016-05-16,4
2016-05-23,4
2016-05-30,6
2016-06-06,1
2016-06-12,2
2016-06-20,4
2016-06-27,1
2016-07-03,1
2016-07-11,1
2016-07-18,2
2016-07-25,1
2016-08-07,3
2016-08-15,1
2016-08-22,1
2016-08-29,1
2016-09-05,4
2016-09-12,5
2016-09-19,3
2016-09-26,6
2016-10-03,2
2016-10-10,4
2016-10-17,12
2016-10-24,8
2016-10-31,12
2016-11-07,10
2016-11-14,3
2016-11-21,4
2016-11-28,3
2016-12-05,4
2016-12-12,6
2016-12-19,7
2016-12-26,6
2017-01-01,6
2017-01-09,2
2017-01-16,3
2017-01-23,2
2017-01-30,4
2017-02-06,3
2017-02-13,11
2017-02-20,3
2017-02-27,1
2017-03-06,4
2017-03-13,3
2017-03-20,5
2017-03-27,3
2017-04-03,4
2017-04-09,10
2017-04-17,1
2017-04-24,1
2017-05-01,2
2017-05-08,4
2017-05-15,2
2017-05-22,3
2017-05-29,1
2017-06-05,1
2017-06-12,2
2017-06-19,7
2017-07-03,6
2017-07-10,2
2017-07-24,1
2017-07-31,3
2017-08-07,2
2017-08-14,1
2017-08-21,5
2017-08-28,1
2017-09-04,2
2017-09-11,4
2017-09-17,1
2017-09-25,1
2017-10-02,1
2017-10-09,3
2017-10-16,4
2017-10-23,2
2017-10-30,2
2017-11-06,6
2017-11-13,2
2017-11-20,5
2017-12-04,2
2017-12-11,1
2017-12-18,1
